Incident_ID,ORI,Incident_Date_Str,Incident_Time_Str,City,County,State,Zip_Code,Multiple_Locations,On_K12_Campus,Arrest_Made,Crime_Report_Filed,Contact_Reason,In_Custody_Reason,Num_Involved_Civilians,Num_Involved_Officers
URSUS-34-9900-2016-KXS,CA0349900,10/25/2016,1515,San Francisco,San Francisco County,CA,94112,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-34-9900-2016-NPW,CA0349900,1/31/2016,400,Bakersfield,Kern County,CA,93307,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-34-9900-2016-NVF,CA0349900,4/12/2016,922,Penngrove,Sonoma County,CA,94951,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-34-9900-2016-PDR,CA0349900,9/5/2016,2357,Los Angeles,Los Angeles County,CA,90015,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-34-9900-2016-QSG,CA0349900,4/7/2016,1303,Unincorporated ,Sacramento County,CA,95841,FALSE,FALSE,TRUE,TRUE,Consensual Encounter / Public Contact / Flag Down,,1,1
URSUS-34-9900-2016-STR,CA0349900,10/10/2016,1911,Irvine,Orange County,CA,92618,FALSE,FALSE,FALSE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-34-9900-2016-YNG,CA0349900,12/20/2016,1940,Willits,Mendocino County,CA,95490,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,3
URSUS-34-9900-2016-YSH,CA0349900,6/24/2016,1750,Concord,Contra Costa County,CA,94520,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-34-9900-2016-ZGK,CA0349900,5/26/2016,1642,Fresno,Fresno County,CA,93725,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-35-0000-2016-MJZ,CA0350000,10/29/2016,2345,Hollister,San Benito County,CA,95023,TRUE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,2
URSUS-36-0000-2016-AKR,CA0360000,8/18/2016,1912,Fontana,San Bernardino County,CA,92335,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,5
URSUS-36-0000-2016-CYD,CA0360000,1/9/2016,2239,Chino Hills,San Bernardino County,CA,91709,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-36-0000-2016-DGT,CA0360000,10/23/2016,1824,Rancho Cucamonga,San Bernardino County,CA,91739,FALSE,FALSE,FALSE,TRUE,In Custody Event,Booked - Awaiting Trial,1,1
URSUS-36-0000-2016-DPS,CA0360000,6/5/2016,230,San Bernardino,San Bernardino County,CA,92410,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-36-0000-2016-ETN,CA0360000,6/19/2016,250,Loma Linda,San Bernardino County,CA,92354,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-0000-2016-EWU,CA0360000,3/11/2016,2012,Adelanto,San Bernardino County,CA,92301,FALSE,FALSE,FALSE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-36-0000-2016-GWK,CA0360000,10/14/2016,2206,Hesperia,San Bernardino County,CA,92345,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-0000-2016-HFG,CA0360000,2/27/2016,2027,Hesperia,San Bernardino County,CA,92345,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-36-0000-2016-HNF,CA0360000,7/17/2016,1244,Chino Hills,San Bernardino County,CA,91709,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-0000-2016-JDT,CA0360000,8/1/2016,2126,Muscoy,San Bernardino County,CA,92407,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-36-0000-2016-JGN,CA0360000,5/15/2016,1506,San Bernardino,San Bernardino County,CA,92407,TRUE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-0000-2016-JRC,CA0360000,3/1/2016,145,Crestline,San Bernardino County,CA,92325,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-0000-2016-JXJ,CA0360000,2/22/2016,108,Victorville,San Bernardino County,CA,92392,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-0000-2016-KRX,CA0360000,1/1/2016,140,San Bernardino,San Bernardino County,CA,92408,FALSE,FALSE,TRUE,TRUE,In Custody Event,Awaiting Booking,1,2
URSUS-36-0000-2016-KWB,CA0360000,8/18/2016,2327,Highland,San Bernardino County,CA,92346,TRUE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-0000-2016-MTT,CA0360000,5/20/2016,1719,Fontana,San Bernardino County,CA,92335,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,1
URSUS-36-0000-2016-NCH,CA0360000,9/24/2016,1457,Big Bear,San Bernardino County,CA,92314,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-0000-2016-NHV,CA0360000,7/22/2016,1600,Victorville,San Bernardino County,CA,92392,FALSE,FALSE,FALSE,TRUE,In Custody Event,Out to Court,1,3
URSUS-36-0000-2016-PRH,CA0360000,1/24/2016,2123,Victorville,San Bernardino County,CA,92394,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,3
URSUS-36-0000-2016-RJA,CA0360000,1/27/2016,1018,Rancho Cucamonga,San Bernardino County,CA,91739,FALSE,FALSE,FALSE,TRUE,In Custody Event,Booked - Awaiting Trial,1,2
URSUS-36-0000-2016-TDQ,CA0360000,3/28/2016,1905,Apple Valley,San Bernardino County,CA,92307,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-0000-2016-TEY,CA0360000,7/4/2016,2005,Highland,San Bernardino County,CA,92346,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-0000-2016-TYB,CA0360000,7/5/2016,1342,San Bernardino,San Bernardino County,CA,92410,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-36-0000-2016-UFZ,CA0360000,7/14/2016,1032,Victorville ,San Bernardino County,CA,92392,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-0000-2016-WCJ,CA0360000,3/11/2016,938,San Bernardino,San Bernardino County,CA,92401,FALSE,FALSE,FALSE,TRUE,In Custody Event,Out to Court,1,2
URSUS-36-0000-2016-YSB,CA0360000,12/12/2016,828,Apple Valley,San Bernardino County,CA,92308,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-0000-2016-YVE,CA0360000,7/2/2016,1745,Bloomington,San Bernardino County,CA,93216,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,2
URSUS-36-0000-2016-ZDH,CA0360000,6/30/2016,1053,Victorville,San Bernardino County,CA,92395,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-36-0000-2016-ZDN,CA0360000,1/25/2016,40,Hesperia,San Bernardino County,CA,92345,FALSE,FALSE,TRUE,TRUE,Consensual Encounter / Public Contact / Flag Down,,1,2
URSUS-36-0000-2016-ZHY,CA0360000,2/17/2016,1615,Rancho Cucamonga,San Bernardino County,CA,91730,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,1
URSUS-36-0000-2016-ZQD,CA0360000,12/21/2016,2304,Needles,San Bernardino County,CA,92363,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-36-0000-2016-ZQU,CA0360000,7/5/2016,1829,Rancho Cucamonga,San Bernardino County,CA,91739,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,5
URSUS-36-0200-2016-FXP,CA0360200,7/23/2016,2124,Chino,San Bernardino County,CA,91710,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,1
URSUS-36-0200-2016-QAJ,CA0360200,3/9/2016,803,Chino,San Bernardino County,CA,91710,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,3
URSUS-36-0300-2016-RET,CA0360300,11/5/2016,207,Colton,San Bernardino County,CA,92324,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-36-0300-2016-UVA,CA0360300,9/12/2016,1721,Colton,San Bernardino County,CA,92324,FALSE,TRUE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,2,2
URSUS-36-0400-2016-GCP,CA0360400,4/4/2016,1355,Fontana,San Bernardino County,CA,92336,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,6
URSUS-36-0400-2016-WBU,CA0360400,3/6/2016,241,Fontana,San Bernardino County,CA,92337,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-36-0400-2016-WUB,CA0360400,7/14/2016,2318,Fontana,San Bernardino County,CA,92336,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,7
URSUS-36-0400-2016-ZXY,CA0360400,12/1/2016,318,Fontana,San Bernardino County,CA,92336,TRUE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-0700-2016-TQQ,CA0360700,3/16/2016,4,Ontario,San Bernardino County,CA,91764,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,4
URSUS-36-0800-2016-WAW,CA0360800,3/24/2016,1412,Redlands,San Bernardino County,CA,92374,FALSE,FALSE,FALSE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,2,9
URSUS-36-1000-2016-AKC,CA0361000,1/29/2016,1900,Colton,San Bernardino County,CA,92376,FALSE,FALSE,TRUE,TRUE,Consensual Encounter / Public Contact / Flag Down,,1,1
URSUS-36-1000-2016-AUJ,CA0361000,6/15/2016,319,Highland,San Bernardino County,CA,92346,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-36-1000-2016-AUS,CA0361000,7/27/2016,19,San Bernardino,San Bernardino County,CA,92411,FALSE,FALSE,FALSE,TRUE,Consensual Encounter / Public Contact / Flag Down,,1,1
URSUS-36-1000-2016-AWX,CA0361000,11/25/2016,1450,San Bernardino,San Bernardino County,CA,92408,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-36-1000-2016-CBX,CA0361000,12/6/2016,1040,San Bernardino,San Bernardino County,CA,92410,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,1
